epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0858,2.1385,5.18829,1.5959,0,0,0,0,1.76084,5.26784,1.58198,1.491e-05,1.491e-05,1.491e-05
2,144.602,1.37712,4.67341,1.1554,0.04627,0.33102,0.12745,0.09604,1.0162,3.44498,0.99047,3.16337e-05,3.16337e-05,3.16337e-05
3,208.621,1.07678,3.60361,0.96959,0.36871,0.25289,0.2271,0.16321,1.09207,4.07261,1.0105,4.802e-05,4.802e-05,4.802e-05
4,272.908,1.06111,2.58584,0.97,0.21031,0.66061,0.48211,0.37202,0.95649,10.3641,0.97367,6.40689e-05,6.40689e-05,6.40689e-05
5,330.028,1.03043,1.67879,0.94247,0.4135,0.89302,0.78162,0.58115,0.9342,8.54589,0.97082,7.97804e-05,7.97804e-05,7.97804e-05
6,383.619,0.9857,1.16247,0.95458,0.74415,0.88805,0.95694,0.73258,0.89878,3.3935,0.95584,9.51546e-05,9.51546e-05,9.51546e-05
7,443.234,0.98266,0.92339,0.94811,0.84909,0.92823,0.97411,0.76104,0.87592,1.38664,0.95001,0.000110191,0.000110191,0.000110191
8,497.039,0.9891,0.83966,0.95029,0.89468,0.92234,0.98298,0.75985,0.88429,0.89521,0.94813,0.000124891,0.000124891,0.000124891
9,554.978,0.95506,0.73619,0.9387,0.89888,0.96177,0.995,0.76656,0.88816,0.62662,0.95544,0.000139253,0.000139253,0.000139253
10,607.999,0.96123,0.65373,0.93749,0.91507,0.98966,0.99185,0.76648,0.89425,0.53796,0.9564,0.000153277,0.000153277,0.000153277
11,665.858,0.96009,0.63366,0.95119,0.91833,0.95064,0.9852,0.75554,0.90313,0.53131,0.95434,0.000166964,0.000166964,0.000166964
12,720.212,0.96551,0.61095,0.96458,0.9137,0.99185,0.995,0.76339,0.8809,0.47751,0.94763,0.000180314,0.000180314,0.000180314
13,774.563,0.9443,0.57865,0.92865,0.88485,0.98248,0.99105,0.76226,0.89842,0.46552,0.95513,0.000187696,0.000187696,0.000187696
14,829.321,0.93793,0.57925,0.92722,0.96598,1,0.995,0.76375,0.89537,0.45404,0.94841,0.000185587,0.000185587,0.000185587
15,878.308,0.9501,0.60117,0.95337,0.92993,0.98913,0.995,0.7662,0.90213,0.50178,0.94802,0.000183478,0.000183478,0.000183478
16,928.12,0.93088,0.57769,0.9305,0.91508,0.9869,0.98641,0.77376,0.87029,0.51999,0.93958,0.000181369,0.000181369,0.000181369
17,983.21,0.94478,0.58473,0.96035,0.96466,0.99255,0.995,0.77172,0.86846,0.41108,0.94318,0.000179261,0.000179261,0.000179261
18,1031.17,0.93443,0.54101,0.92439,0.96172,0.9867,0.995,0.77627,0.86475,0.40643,0.93803,0.000177152,0.000177152,0.000177152
19,1083.53,0.95304,0.52904,0.9503,0.9617,0.99465,0.995,0.76801,0.89493,0.41897,0.94543,0.000175043,0.000175043,0.000175043
20,1134.27,0.9454,0.54513,0.93941,0.93199,1,0.995,0.77872,0.87389,0.41185,0.9418,0.000172935,0.000172935,0.000172935
21,1188.62,0.90746,0.51194,0.92803,0.96346,0.98753,0.99105,0.77156,0.87001,0.38578,0.94143,0.000170826,0.000170826,0.000170826
22,1246.16,0.92381,0.49708,0.93437,0.94918,0.98777,0.99105,0.77405,0.86645,0.40466,0.93854,0.000168717,0.000168717,0.000168717
23,1306.43,0.90774,0.49806,0.92941,0.96141,1,0.995,0.77258,0.8674,0.42151,0.93811,0.000166609,0.000166609,0.000166609
